epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,118.742,0.54284,1.02487,1.16853,0.95953,0.75,0.74543,0.59635,1.00783,1.63741,1.89857,0.001076,0.001076,0.001076
58,120.784,0.6216,0.98358,1.12082,0.97533,0.75,0.74543,0.59635,0.89871,1.48572,1.72317,0.0010595,0.0010595,0.0010595
59,122.815,0.53082,0.78163,1.15108,0.97533,0.75,0.74543,0.59635,0.89871,1.48572,1.72317,0.001043,0.001043,0.001043
60,124.854,0.51114,0.83592,1.17357,0.97533,0.75,0.74543,0.59635,0.89871,1.48572,1.72317,0.0010265,0.0010265,0.0010265
61,126.883,0.64553,0.94875,1.19751,0.97533,0.75,0.74543,0.59635,0.89871,1.48572,1.72317,0.00101,0.00101,0.00101
62,128.93,0.52523,0.82729,1.13345,0.96606,0.75,0.74543,0.6459,0.78686,1.39752,1.48988,0.0009935,0.0009935,0.0009935
63,130.982,0.40631,0.74613,1.07088,0.96606,0.75,0.74543,0.6459,0.78686,1.39752,1.48988,0.000977,0.000977,0.000977
64,133.069,0.4542,0.78924,1.05963,0.96606,0.75,0.74543,0.6459,0.78686,1.39752,1.48988,0.0009605,0.0009605,0.0009605
65,135.142,0.49624,0.84041,1.1337,0.96606,0.75,0.74543,0.6459,0.78686,1.39752,1.48988,0.000944,0.000944,0.000944
66,137.236,0.42449,0.75296,1.06712,0.9633,0.75,0.74543,0.6459,0.79008,1.30005,1.52098,0.0009275,0.0009275,0.0009275
67,139.289,0.45461,0.74931,1.02184,0.9633,0.75,0.74543,0.6459,0.79008,1.30005,1.52098,0.000911,0.000911,0.000911
68,141.318,0.44055,0.75099,1.03752,0.9633,0.75,0.74543,0.6459,0.79008,1.30005,1.52098,0.0008945,0.0008945,0.0008945
69,143.348,0.46746,0.83908,1.13124,0.9633,0.75,0.74543,0.6459,0.79008,1.30005,1.52098,0.000878,0.000878,0.000878
70,145.396,0.4503,0.71223,1.03724,0.97903,0.75,0.74543,0.6459,0.83223,1.23953,1.51284,0.0008615,0.0008615,0.0008615
71,147.424,0.4394,0.71666,1.05385,0.97903,0.75,0.74543,0.6459,0.83223,1.23953,1.51284,0.000845,0.000845,0.000845
72,149.442,0.41238,0.7748,1.08171,0.97903,0.75,0.74543,0.6459,0.83223,1.23953,1.51284,0.0008285,0.0008285,0.0008285
73,151.477,0.48875,0.8095,1.1242,0.97903,0.75,0.74543,0.6459,0.83223,1.23953,1.51284,0.000812,0.000812,0.000812
74,153.522,0.38709,0.81341,1.0832,0.98288,0.75,0.74543,0.6459,0.71122,1.11435,1.30896,0.0007955,0.0007955,0.0007955
75,155.557,0.42276,0.75031,1.08681,0.98288,0.75,0.74543,0.6459,0.71122,1.11435,1.30896,0.000779,0.000779,0.000779
76,157.592,0.48852,0.74812,1.09184,0.98288,0.75,0.74543,0.6459,0.71122,1.11435,1.30896,0.0007625,0.0007625,0.0007625
77,159.627,0.44343,0.76578,1.15044,0.98288,0.75,0.74543,0.6459,0.71122,1.11435,1.30896,0.000746,0.000746,0.000746
78,161.671,0.45372,0.75835,0.99669,0.985,0.75,0.74543,0.67089,0.57963,0.96233,1.17096,0.0007295,0.0007295,0.0007295
79,163.714,0.45753,0.68278,1.00325,0.985,0.75,0.74543,0.67089,0.57963,0.96233,1.17096,0.000713,0.000713,0.000713
80,165.734,0.49554,0.80587,1.06841,0.985,0.75,0.74543,0.67089,0.57963,0.96233,1.17096,0.0006965,0.0006965,0.0006965
